160000, 320000, 480000, 640000, 800000, 960000, 1120000
18, 13, 13, 16, 13, 14, 14
223, 257, 570, 551, 643, 797, 1092
142, 167, 359, 351, 407, 518, 713
14, 11, 16, 12, 14, 19, 28
190, 210, 412, 443, 515, 667, 888
261, 266, 497, 527, 626, 805, 1232
